@@аккуратный + t:hum/t:hum:etn/t:hum:kin/t:animal;semf='r:qual t:humq ev:posit';Ex:А. ученик
@@аккуратный + народ/семья;semf='r:qual t:humq ev:posit';Ex:А. ученик
@@аккуратный + S;semf2='r:qual ev:posit der:shift dt:humq';Ex:А. исполнение
черный + по + @@белый;semf='r:qual t:physq:color';Ex:Белая бумага
[как] + сажа + @@белый;semf='r:qual t:physq:color';Ex:Белая бумага
шить/сшить + '@@белыми' + 'нитками';semf2='r:rel t:physq:color der:shift';
@@белыми + 'нитками' + [шить];semf2='r:rel t:physq:color der:shift';
среди/средь/посреди/посередь/середь + @@белый + день;semf2='r:rel der:shift dt:physq:color';
@@белый + день/утро/вечер;semf2='r:rel der:shift dt:physq:color';
@@белый + ночь;semf2='r:rel der:shift dt:physq:color';
@@белый + свет;semf2='r:rel der:shift dt:physq:color';
@@белый + горячка/экстаз/помешательство;semf2='r:rel degr:max der:shift dt:physq:color';
[до] + @@белый + каление;semf2='r:rel degr:max der:shift dt:physq:color';
@@белый + танец/бал;semf2='r:rel t:species';Ex:Б. хлеб (пшеничный)
@@белый + стихи;semf2='r:rel t:species';Ex:Б. хлеб (пшеничный)
@@белый + билет;semf2='r:rel t:species';Ex:Б. хлеб (пшеничный)
@@белый + карлик;semf2='r:rel t:species';Ex:Б. хлеб (пшеничный)
@@белый + бычок;semf='r:qual t:physq:color';Ex:Белая бумага
@@белый + ворона;semf='r:qual t:physq:color';Ex:Белая бумага
@@белый + олимпиада;semf2='r:rel t:species';Ex:Б. хлеб (пшеничный)
@@белый + духовенство/священник/поп;semf2='r:rel t:species';Ex:Б. хлеб (пшеничный)
@@белый&pl + кость&pl;semf='r:qual t:physq:color';Ex:Белая бумага
@@белый + кость;semf2='r:rel t:species';Ex:Б. хлеб (пшеничный)
@@белый + уголь/золото;semf2='r:rel t:species';Ex:Б. хлеб (пшеничный)
@@белый + изба/баня;semf2='r:rel t:species';Ex:Б. хлеб (пшеничный)
@@белый + магия/маг;semf2='r:rel t:species';Ex:Б. хлеб (пшеничный)
@@белый + мясо/мука;semf2='r:rel t:species';Ex:Б. хлеб (пшеничный)
@@белый + железо;semf='r:qual t:physq:color' semf2='r:rel t:species';Ex:Белая бумага Ex:Б. хлеб (пшеничный)
@@белый + горох/горошек/горошина;semf='r:qual t:physq:color';Ex:Белая бумага
@@белый + t:food;semf2='r:rel t:species';Ex:Б. хлеб (пшеничный)
@@белый&sg + дом&sg;semf='r:qual t:physq:color';Ex:Белая бумага
@@белый + воротничок/воротник;semf='r:qual t:physq:color';Ex:Белая бумага
@@белый + дилер/продавец/импортер;semf2='r:rel t:species';Ex:Б. хлеб (пшеничный)
@@белый + фигура/король/королева/ферзь/ладья/пешка/шашка;semf2='r:rel t:species';Ex:Б. хлеб (пшеничный)
@@белый + слон;semf='r:qual t:physq:color' semf2='r:rel t:species';Ex:Белая бумага Ex:Б. хлеб (пшеничный)
@@белый + гвардия/армия/войско;semf2='r:rel der:shift dt:physq:color';Ex:Белая армия
@@белый + офицер/офицерство;semf2='r:rel der:shift dt:physq:color';Ex:Белая армия
@@белый + генерал;semf2='r:rel der:shift dt:physq:color';Ex:Белая армия
@@белый + террор;semf2='r:rel der:shift dt:physq:color';Ex:Белая армия
@@белый + народ/население/раса;semf2='r:rel t:race der:shift dt:physq:color';Ex:Белая раса
@@белый + расизм/культура;semf2='r:rel t:race der:shift dt:physq:color';Ex:Белая раса
@@белый + старик;semf2='r:qual t:appearance der:shift dt:physq:color';
@@белый + t:hum/t:hum:etn/t:hum:kin;semf2='r:rel t:race der:shift dt:physq:color';Ex:Белая раса
@@белый + S;semf='r:qual t:physq:color';Ex:Белая бумага
@@белый + [0..1]A&t:physq:color;semf='r:qual t:physq:color';Ex:Белая бумага
A&t:physq:color + [0..1]@@белый;semf='r:qual t:physq:color';Ex:Белая бумага
@@благородный + t:hum/t:hum:kin;semf='r:qual t:humq ev:posit d:bon der:comp';Ex:Б. человек
@@благородный + t:psych/t:psych:volit;semf2='r:qual ev:posit d:bon der:comp der:shift dt:humq';Ex:Б.намерения
@@благородный + дух;semf2='r:qual ev:posit d:bon der:comp der:shift dt:humq';Ex:Б.намерения
@@благородный + металл/газ;semf2='r:rel t:species do:term der:shift der:comp';Ex:Благородные металлы
@@благородный + t:hum:etn;semf2='r:rel der:comp';Ex:Благородная семья
@@благородный + [0..1]семья/семейство/фамилия;semf2='r:rel der:comp';Ex:Благородная семья
институт + @@благородный + девица;semf2='r:rel der:comp';Ex:Благородная семья
@@благородный + происхождение/тон/кровь;semf2='r:rel der:comp der:shift';Ex:Благородное происхождение
@@благородный + t:move:body;semf2='r:rel der:comp der:shift';Ex:Благородное происхождение
@@благородный + t:animal/t:plant/t:color/t:smell/t:stuff;semf2='r:rel ev:posit der:comp der:shift';Ex:Б. фарфор
@@благородный + тварь/создание;semf2='r:rel ev:posit der:comp der:shift';Ex:Б. фарфор
@@благородный + S;semf2='r:qual ev:posit d:bon der:comp';Ex:Б.простота линий
@@благородный&brev;semf='r:qual t:humq ev:posit d:bon der:comp' semf2='r:qual ev:posit d:bon der:comp der:shift dt:humq';Ex:Б. человек Ex:Б.намерения r:qual ev:posit d:bon der:comp
@@больной + абстр;semf2='r:qual der:shift der:metaph dt:physiol';
@@большой + r:abstr;semf2='r:qual t:degr:max';
@@большой + r:concr;semf='r:qual t:size';
@@большой + r:concr&t:stuff;semf2='r:qual t:quant:max';
@@большой + мужчина;semf='r:qual t:size';
@@большой + поклонник/плут/поэт/писатель/ученый/начальник/мастер/знаток/друг/дурак/мыслитель/фотограф/фигура/шишка;semf2='r:qual t:degr';
@@черный + по + белый;semf='r:qual t:physq:color';Ex:Ч. цвет
@@черный + список;semf2='r:qual ev:neg der:shift dt:physq:color';
@@черный + метка;semf2='r:qual ev:neg der:shift dt:physq:color';
@@черный + ящик;semf2='r:qual der:shift dt:physq:color';
на + @@черный + день;semf2='r:qual ev:neg der:shift dt:physq:color';Ex:Черные мысли
@@черный + день;semf2='r:qual ev:neg der:shift dt:physq:color';Ex:Черные мысли
@@черный + человек;semf='r:qual t:physq:color' semf2='r:qual ev:neg der:shift dt:physq:color';Ex:Ч. цвет Ex:Черные мысли r:rel t:race
@@черный&sg + глаз&sg;semf='r:qual t:physq:color' semf2='r:qual ev:neg der:shift dt:physq:color';Ex:Ч. цвет Ex:Черные мысли
@@черный + дыра;semf2='r:qual der:shift dt:physq:color';
@@черный + оспа;semf2='r:qual der:shift dt:physq:color';
@@черный + вдова;semf2='r:qual der:shift dt:physq:color';
держать + в + @@черный + тело;semf2='r:qual der:shift dt:physq:color';
саша + @@черный;semf2='r:propn t:hum t:famn';
@@черный + море;semf2='r:qual der:shift dt:physq:color';
@@черный + буря;semf2='r:rel t:species';Ex:Ч. хлеб (ржаной)
@@черный + гриб/дерево;semf='r:qual t:physq:color' semf2='r:rel t:species';Ex:Ч. цвет Ex:Ч. хлеб (ржаной)
@@черный + меланхолия;semf2='r:qual t:degr:max der:shift dt:physq:color';
@@черный + немочь;semf2='r:qual t:degr:max der:shift dt:physq:color';
@@черный + смерть;semf2='r:qual der:shift dt:physq:color';
@@черный + пятно;semf='r:qual t:physq:color' semf2='r:rel t:species';Ex:Ч. цвет Ex:Ч. хлеб (ржаной)
@@черный + слово;semf2='r:qual der:shift dt:physq:color';
@@черный + ножка;semf2='r:qual der:shift dt:physq:color';
